register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
check_s2_o_tag,secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,hamming,1,multi_bitflip_reg_multi,70,5280,1.325758
check_s2_o_tag,secretFunction,hamming,1,single_bitflip_spatial,10,1208,0.827815
check_s2_o_tag,secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,hamming,2,multi_bitflip_reg_multi,69,5472,1.260965
check_s2_o_tag,secretFunction,hamming,2,single_bitflip_spatial,8,1248,0.641026
check_s2_o_tag,secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
check_s2_o_tag,secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
check_s2_o_tag,secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
check_s2_o_tag,secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
check_s2_o_tag,secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,hamming,5,multi_bitflip_reg_multi,58,7968,0.727912
check_s2_o_tag,secretFunction,hamming,5,single_bitflip_spatial,0,1920,0.000000
check_s2_o_tag,secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,secded,1,multi_bitflip_reg_multi,38,5440,0.698529
check_s2_o_tag,secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
check_s2_o_tag,secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,secded,2,multi_bitflip_reg_multi,39,5696,0.684691
check_s2_o_tag,secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
check_s2_o_tag,secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
check_s2_o_tag,secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
check_s2_o_tag,secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
check_s2_o_tag,secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
check_s2_o_tag,secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,secded,5,multi_bitflip_reg_multi,4,9216,0.043403
check_s2_o_tag,secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
check_s2_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,simple_parity,1,multi_bitflip_reg_multi,8,2624,0.304878
check_s2_o_tag,secretFunction,simple_parity,1,single_bitflip_spatial,6,1048,0.572519
check_s2_o_tag,secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
check_s2_o_tag,secretFunction,wop,1,multi_bitflip_reg_multi,24,2464,0.974026
check_s2_o_tag,secretFunction,wop,1,single_bitflip_spatial,23,1008,2.281746
