register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rs1_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,hamming,1,multi_bitflip_reg_multi,23,3960,0.580808
rs1_o_tag,buffer_overflow,hamming,1,single_bitflip_spatial,4,906,0.441501
rs1_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,hamming,2,multi_bitflip_reg_multi,28,4104,0.682261
rs1_o_tag,buffer_overflow,hamming,2,single_bitflip_spatial,0,936,0.000000
rs1_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,hamming,3,multi_bitflip_reg_multi,24,4728,0.507614
rs1_o_tag,buffer_overflow,hamming,3,single_bitflip_spatial,0,1140,0.000000
rs1_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,hamming,4,multi_bitflip_reg_multi,24,5448,0.440529
rs1_o_tag,buffer_overflow,hamming,4,single_bitflip_spatial,0,1362,0.000000
rs1_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,hamming,5,multi_bitflip_reg_multi,24,5976,0.401606
rs1_o_tag,buffer_overflow,hamming,5,single_bitflip_spatial,0,1440,0.000000
rs1_o_tag,buffer_overflow,secded,1,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,secded,1,multi_bitflip_reg_multi,8,4080,0.196078
rs1_o_tag,buffer_overflow,secded,1,single_bitflip_spatial,0,936,0.000000
rs1_o_tag,buffer_overflow,secded,2,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,secded,2,multi_bitflip_reg_multi,4,4272,0.093633
rs1_o_tag,buffer_overflow,secded,2,single_bitflip_spatial,0,978,0.000000
rs1_o_tag,buffer_overflow,secded,3,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,secded,3,multi_bitflip_reg_multi,4,5304,0.075415
rs1_o_tag,buffer_overflow,secded,3,single_bitflip_spatial,0,1284,0.000000
rs1_o_tag,buffer_overflow,secded,4,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,secded,4,multi_bitflip_reg_multi,0,6360,0.000000
rs1_o_tag,buffer_overflow,secded,4,single_bitflip_spatial,0,1590,0.000000
rs1_o_tag,buffer_overflow,secded,5,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,secded,5,multi_bitflip_reg_multi,0,6912,0.000000
rs1_o_tag,buffer_overflow,secded,5,single_bitflip_spatial,0,1674,0.000000
rs1_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,simple_parity,1,multi_bitflip_reg_multi,1,1968,0.050813
rs1_o_tag,buffer_overflow,simple_parity,1,single_bitflip_spatial,1,786,0.127226
rs1_o_tag,buffer_overflow,wop,1,multi_bitflip_reg,0,12,0.000000
rs1_o_tag,buffer_overflow,wop,1,multi_bitflip_reg_multi,5,1848,0.270563
rs1_o_tag,buffer_overflow,wop,1,single_bitflip_spatial,7,756,0.925926
